label,feature_count,features,best_test_r2,best_test_mse,best_epoch,last_train_r2,last_train_mse,last_test_r2,last_test_mse,evaluation_mode,dropped_feature,compact_tau,still_meets_tau
drop_da_as_nsr_mw_primary_reserve,10,prelim_load_avg_hourly;gen_fuel_gas_mw;gen_fuel_coal_mw;gen_fuel_solar_mw;gen_fuel_hydro_mw;gen_fuel_wind_mw;gross_sched_interchange_mw;gen_fuel_nuclear_mw;gen_fuel_oil_mw;gen_fuel_multiple_fuels_mw,0.9382359981536865,0.058512814342975616,153,0.9413064122200012,0.05869358032941818,0.9382359981536865,0.058512814342975616,dgating_best_model_masked_inputs,da_as_nsr_mw_primary_reserve,0.95,False
drop_gen_fuel_multiple_fuels_mw,10,prelim_load_avg_hourly;gen_fuel_gas_mw;gen_fuel_coal_mw;gen_fuel_solar_mw;gen_fuel_hydro_mw;gen_fuel_wind_mw;gross_sched_interchange_mw;gen_fuel_nuclear_mw;da_as_nsr_mw_primary_reserve;gen_fuel_oil_mw,0.9303675293922424,0.06596710532903671,153,0.9327176213264465,0.06728239357471466,0.9303675293922424,0.06596710532903671,dgating_best_model_masked_inputs,gen_fuel_multiple_fuels_mw,0.95,False
drop_gross_sched_interchange_mw,10,prelim_load_avg_hourly;gen_fuel_gas_mw;gen_fuel_coal_mw;gen_fuel_solar_mw;gen_fuel_hydro_mw;gen_fuel_wind_mw;gen_fuel_nuclear_mw;da_as_nsr_mw_primary_reserve;gen_fuel_oil_mw;gen_fuel_multiple_fuels_mw,0.9130024313926697,0.08241807669401169,153,0.9178394079208374,0.08216056227684021,0.9130024313926697,0.08241807669401169,dgating_best_model_masked_inputs,gross_sched_interchange_mw,0.95,False
drop_gen_fuel_oil_mw,10,prelim_load_avg_hourly;gen_fuel_gas_mw;gen_fuel_coal_mw;gen_fuel_solar_mw;gen_fuel_hydro_mw;gen_fuel_wind_mw;gross_sched_interchange_mw;gen_fuel_nuclear_mw;da_as_nsr_mw_primary_reserve;gen_fuel_multiple_fuels_mw,0.8974635601043701,0.09713903069496155,153,0.9011193513870239,0.09888067096471786,0.8974635601043701,0.09713903069496155,dgating_best_model_masked_inputs,gen_fuel_oil_mw,0.95,False
drop_gen_fuel_nuclear_mw,10,prelim_load_avg_hourly;gen_fuel_gas_mw;gen_fuel_coal_mw;gen_fuel_solar_mw;gen_fuel_hydro_mw;gen_fuel_wind_mw;gross_sched_interchange_mw;da_as_nsr_mw_primary_reserve;gen_fuel_oil_mw;gen_fuel_multiple_fuels_mw,0.6282671689987183,0.352165162563324,153,0.6270816326141357,0.37291833758354187,0.6282671689987183,0.352165162563324,dgating_best_model_masked_inputs,gen_fuel_nuclear_mw,0.95,False
drop_gen_fuel_hydro_mw,10,prelim_load_avg_hourly;gen_fuel_gas_mw;gen_fuel_coal_mw;gen_fuel_solar_mw;gen_fuel_wind_mw;gross_sched_interchange_mw;gen_fuel_nuclear_mw;da_as_nsr_mw_primary_reserve;gen_fuel_oil_mw;gen_fuel_multiple_fuels_mw,0.5730284452438354,0.4044961631298065,153,0.6092710494995117,0.3907289206981659,0.5730284452438354,0.4044961631298065,dgating_best_model_masked_inputs,gen_fuel_hydro_mw,0.95,False
drop_gen_fuel_wind_mw,10,prelim_load_avg_hourly;gen_fuel_gas_mw;gen_fuel_coal_mw;gen_fuel_solar_mw;gen_fuel_hydro_mw;gross_sched_interchange_mw;gen_fuel_nuclear_mw;da_as_nsr_mw_primary_reserve;gen_fuel_oil_mw;gen_fuel_multiple_fuels_mw,0.4128633737564087,0.5562303066253662,153,0.41100889444351196,0.5889911651611328,0.4128633737564087,0.5562303066253662,dgating_best_model_masked_inputs,gen_fuel_wind_mw,0.95,False
drop_gen_fuel_solar_mw,10,prelim_load_avg_hourly;gen_fuel_gas_mw;gen_fuel_coal_mw;gen_fuel_hydro_mw;gen_fuel_wind_mw;gross_sched_interchange_mw;gen_fuel_nuclear_mw;da_as_nsr_mw_primary_reserve;gen_fuel_oil_mw;gen_fuel_multiple_fuels_mw,-0.40265846252441406,1.3288239240646362,153,-0.29595720767974854,1.295957088470459,-0.40265846252441406,1.3288239240646362,dgating_best_model_masked_inputs,gen_fuel_solar_mw,0.95,False
drop_gen_fuel_coal_mw,10,prelim_load_avg_hourly;gen_fuel_gas_mw;gen_fuel_solar_mw;gen_fuel_hydro_mw;gen_fuel_wind_mw;gross_sched_interchange_mw;gen_fuel_nuclear_mw;da_as_nsr_mw_primary_reserve;gen_fuel_oil_mw;gen_fuel_multiple_fuels_mw,-1.3211109638214111,2.198929786682129,153,-1.278426170349121,2.2784264087677,-1.3211109638214111,2.198929786682129,dgating_best_model_masked_inputs,gen_fuel_coal_mw,0.95,False
drop_gen_fuel_gas_mw,10,prelim_load_avg_hourly;gen_fuel_coal_mw;gen_fuel_solar_mw;gen_fuel_hydro_mw;gen_fuel_wind_mw;gross_sched_interchange_mw;gen_fuel_nuclear_mw;da_as_nsr_mw_primary_reserve;gen_fuel_oil_mw;gen_fuel_multiple_fuels_mw,-3.965989589691162,4.704585075378418,153,-3.634105682373047,4.634105682373047,-3.965989589691162,4.704585075378418,dgating_best_model_masked_inputs,gen_fuel_gas_mw,0.95,False
